GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TP3 Intégration Continue,com.universite,BookController,0,30,0,0,0,8,0,5,0,5
TP3 Intégration Continue,com.universite,LoanController,39,20,0,0,12,5,4,4,4,4
TP3 Intégration Continue,com.universite,MemberService,20,57,3,3,4,13,7,6,4,6
TP3 Intégration Continue,com.universite,LoanService,52,43,5,1,10,10,9,6,6,6
TP3 Intégration Continue,com.universite,Book,0,43,0,0,0,14,0,10,0,10
TP3 Intégration Continue,com.universite,MemberController,33,28,2,0,10,7,4,5,3,5
TP3 Intégration Continue,com.universite,Loan,4,29,0,0,1,10,1,7,1,7
TP3 Intégration Continue,com.universite,LibraryManagementApplication,5,66,0,0,2,14,1,3,1,3
TP3 Intégration Continue,com.universite,BookService,5,18,0,0,2,4,1,4,1,4
TP3 Intégration Continue,com.universite,Member,4,39,0,0,1,13,1,9,1,9
